"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti sbagliato","","Payton Terrell Willis","missed",310,310,855,196
"3 punti sbagliato","","Ryan Hawkins","missed",330,330,1470,84
"3 punti sbagliato","","Gerry Blakes","missed",364,364,1365,504
"2 punti segnato","Charlie Edward Moore","Gerry Blakes","made",407,407,975,644
"3 punti sbagliato","","Charlie Edward Moore","missed",450,450,1305,644
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",488,488,720,140
"3 punti segnato","","Charlie Edward Moore","made",525,525,975,868
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",596,596,750,196
"2 punti segnato","","Payton Terrell Willis","made",12,612,675,644
"2 punti sbagliato","","Carl Wheatle","missed",38,638,780,168
"2 punti sbagliato","","Charlie Edward Moore","missed",57,657,525,476
"2 punti sbagliato","","Payton Terrell Willis","missed",102,702,1095,476
"3 punti sbagliato","","Carl Wheatle","missed",181,781,375,980
"2 punti sbagliato","","Charlie Edward Moore","missed",271,871,1035,560
"3 punti sbagliato","","Ryan Hawkins","missed",332,932,1110,812
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",348,948,765,280
"2 punti sbagliato","","Gerry Blakes","missed",382,982,975,364
"3 punti sbagliato","","Payton Terrell Willis","missed",430,1030,735,868
"2 punti segnato","","Charlie Edward Moore","made",463,1063,825,168
"2 punti sbagliato","","Charlie Edward Moore","missed",502,1102,705,196
"2 punti segnato","","Charlie Edward Moore","made",572,1172,825,224
"3 punti sbagliato","","Charlie Edward Moore","missed",34,1234,840,896
"3 punti sbagliato","","Gerry Blakes","missed",68,1268,450,812
"2 punti sbagliato","","Gerry Blakes","missed",103,1303,510,504
"3 punti segnato","Payton Terrell Willis","Carl Wheatle","made",144,1344,1455,84
"2 punti segnato","","Payton Terrell Willis","made",207,1407,765,616
"3 punti sbagliato","","Payton Terrell Willis","missed",263,1463,1215,700
"2 punti segnato","","Gerry Blakes","made",304,1504,1065,532
"2 punti segnato","","Gerry Blakes","made",329,1529,405,252
"3 punti segnato","Payton Terrell Willis","Gerry Blakes","made",365,1565,75,336
"3 punti sbagliato","","Charlie Edward Moore","missed",414,1614,735,868
"2 punti segnato","","Charlie Edward Moore","made",482,1682,405,504
"2 punti sbagliato","","Charlie Edward Moore","missed",531,1731,615,448
"3 punti sbagliato","","Ryan Hawkins","missed",536,1736,1035,812
"2 punti segnato","Gianluca Della Rosa","Angelo Del Chiaro","made",598,1798,795,196
"2 punti sbagliato","","Angelo Del Chiaro","missed",13,1813,840,616
"2 punti segnato","","Carl Wheatle","made",30,1830,735,196
"3 punti segnato","Carl Wheatle","Ryan Hawkins","made",68,1868,585,868
"3 punti segnato","Gianluca Della Rosa","Ryan Hawkins","made",114,1914,45,56
"3 punti sbagliato","","Carl Wheatle","missed",143,1943,735,896
"3 punti segnato","","Gianluca Della Rosa","made",182,1982,465,812
"3 punti sbagliato","","Ryan Hawkins","missed",221,2021,885,868
"3 punti sbagliato","","Ryan Hawkins","missed",247,2047,405,784
"3 punti sbagliato","","Lorenzo Saccaggi","missed",313,2113,75,448
"2 punti sbagliato","","Charlie Edward Moore","missed",354,2154,1005,308
"2 punti segnato","Payton Terrell Willis","Derek Ogbeide","made",397,2197,735,168
"2 punti segnato","","Carl Wheatle","made",425,2225,660,140
"3 punti sbagliato","","Carl Wheatle","missed",490,2290,270,700
"3 punti sbagliato","","Payton Terrell Willis","missed",522,2322,1215,728
"3 punti segnato","Carl Wheatle","Payton Terrell Willis","made",558,2358,315,812
"2 punti sbagliato","","Charlie Edward Moore","missed",580,2380,645,196
"2 punti sbagliato","","Payton Terrell Willis","missed",46,46,420,224
"2 punti sbagliato","","Carl Wheatle","missed",82,82,405,448
"2 punti sbagliato","","Charlie Edward Moore","missed",111,111,750,504
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",117,117,675,168
"2 punti segnato","","Payton Terrell Willis","made",146,146,600,588
"3 punti segnato","Charlie Edward Moore","Ryan Hawkins","made",177,177,30,140
"3 punti sbagliato","","Carl Wheatle","missed",235,235,75,420
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",275,275,735,140
"3 punti sbagliato","","Charlie Edward Moore","missed",311,311,1050,840
"3 punti segnato","Gerry Blakes","Ryan Hawkins","made",343,343,45,196
"2 punti sbagliato","","Carl Wheatle","missed",386,386,780,308
"3 punti segnato","Charlie Edward Moore","Ryan Hawkins","made",419,419,405,812
"2 punti segnato","","Charlie Edward Moore","made",460,460,765,252
"2 punti sbagliato","","Gerry Blakes","missed",497,497,630,252
"2 punti segnato","","Gerry Blakes","made",502,502,735,168
"3 punti sbagliato","","Charlie Edward Moore","missed",528,528,165,756
"3 punti segnato","Gerry Blakes","Gianluca Della Rosa","made",540,540,45,112
"3 punti segnato","","Gerry Blakes","made",20,620,405,840
"3 punti sbagliato","","Gianluca Della Rosa","missed",89,689,1095,924
