,game_id,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
238,24428,2 punti sbagliato,,Colbey Ross,missed,298,2098,795.0,448.0,3
239,24428,3 punti sbagliato,,Gabriel Lundberg,missed,321,2121,1455.0,168.0,8
240,24428,2 punti segnato,,Tommaso Baldasso,made,329,2129,1185.0,168.0,4
241,24428,2 punti segnato,,Gabriel Lundberg,made,351,2151,900.0,280.0,0
242,24428,2 punti segnato,Colbey Ross,Leon Radosevic,made,362,2162,825.0,168.0,0
243,24428,2 punti sbagliato,,Marco Belinelli,missed,387,2187,315.0,532.0,2
244,24428,2 punti sbagliato,,Colbey Ross,missed,394,2194,825.0,196.0,0
245,24428,3 punti sbagliato,,Gabriel Lundberg,missed,408,2208,1365.0,616.0,7
246,24428,2 punti segnato,Arturs Strautins,Colbey Ross,made,414,2214,795.0,196.0,0
247,24428,2 punti sbagliato,,Tommaso Baldasso,missed,426,2226,300.0,588.0,2
248,24428,3 punti segnato,Tommaso Baldasso,Arturs Strautins,made,436,2236,1215.0,840.0,7
249,24428,3 punti sbagliato,,Alessandro Pajola,missed,463,2263,1245.0,812.0,7
250,24428,3 punti segnato,,Marco Belinelli,made,474,2274,1125.0,840.0,7
251,24428,2 punti segnato,Marco Belinelli,Abass Awudu Abass,made,494,2294,720.0,280.0,0
252,24428,2 punti segnato,,Chris Dowe,made,511,2311,675.0,224.0,0
253,24428,2 punti segnato,,Chris Dowe,made,535,2335,780.0,364.0,0
254,24428,2 punti segnato,,Isaia Cordinier,made,555,2355,750.0,280.0,0
255,24428,3 punti sbagliato,,Chris Dowe,missed,568,2368,330.0,840.0,6
256,24428,2 punti sbagliato,,Ante Zizic,missed,585,2385,660.0,280.0,0
257,24428,2 punti segnato,,Chris Dowe,made,595,2395,840.0,224.0,0
258,24429,3 punti segnato,Matt Mooney,Toto Forray,made,16,16,1470.0,196.0,8
259,24429,2 punti segnato,,Shavon Shields,made,34,34,1020.0,644.0,3
260,24429,2 punti sbagliato,,Davide Alviti,missed,61,61,1350.0,168.0,4
261,24429,2 punti sbagliato,,Stefano Tonut,missed,102,102,825.0,196.0,0
262,24429,2 punti sbagliato,,Nicolò Melli,missed,102,102,825.0,196.0,0
263,24429,2 punti sbagliato,,Paul Stephan Biligha,missed,116,116,630.0,560.0,2
264,24429,3 punti segnato,Nicolò Melli,Shavon Shields,made,128,128,1020.0,896.0,7
265,24429,2 punti segnato,Kamar Baldwin,Paul Stephan Biligha,made,142,142,735.0,196.0,0
266,24429,3 punti segnato,Toto Forray,Matt Mooney,made,173,173,135.0,616.0,6
267,24429,3 punti segnato,,Kamar Baldwin,made,203,203,1155.0,784.0,7
268,24429,3 punti segnato,,Shabazz Napier,made,218,218,300.0,840.0,6
269,24429,2 punti sbagliato,,Davide Alviti,missed,234,234,810.0,252.0,0
270,24429,3 punti sbagliato,,Kamar Baldwin,missed,246,246,60.0,280.0,5
271,24429,3 punti segnato,Shabazz Napier,Nikola Mirotic,made,257,257,1110.0,896.0,7
272,24429,2 punti segnato,Daulton Hommes,Toto Forray,made,281,281,420.0,140.0,1
273,24429,2 punti sbagliato,,Shavon Shields,missed,298,298,585.0,196.0,0
274,24429,2 punti segnato,,Nicolò Melli,made,298,298,585.0,196.0,0
275,24429,2 punti segnato,Kamar Baldwin,Paul Stephan Biligha,made,317,317,1125.0,140.0,4
276,24429,2 punti segnato,Shabazz Napier,Shavon Shields,made,327,327,660.0,252.0,0
277,24429,2 punti segnato,,Shavon Shields,made,366,366,630.0,196.0,0
278,24429,2 punti sbagliato,,Quinn Ellis,missed,389,389,390.0,140.0,1
279,24429,3 punti segnato,Shavon Shields,Shabazz Napier,made,405,405,1410.0,532.0,8
280,24429,2 punti segnato,,Shavon Shields,made,427,427,510.0,644.0,2
281,24429,2 punti sbagliato,,Giampaolo Ricci,missed,456,456,555.0,336.0,2
282,24429,3 punti sbagliato,,Daulton Hommes,missed,462,462,1245.0,756.0,7
283,24429,3 punti sbagliato,,Matt Mooney,missed,491,491,1275.0,784.0,7
284,24429,3 punti segnato,Giampaolo Ricci,Billy Baron,made,517,517,45.0,224.0,5
285,24429,2 punti segnato,Matt Mooney,Derek Cooke,made,538,538,765.0,196.0,0
