,game_id,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
127,Milano Trento game 3,3 punti sbagliato,,Devon Hall,missed,208,208,90,504,5
128,Milano Trento game 3,2 punti sbagliato,,Nicolò Melli,missed,208,208,90,504,5
129,Milano Trento game 3,2 punti sbagliato,,Nikola Mirotic,missed,234,234,360,168,1
130,Milano Trento game 3,3 punti sbagliato,,Shabazz Napier,missed,269,269,720,896,6
131,Milano Trento game 3,3 punti sbagliato,,Devon Hall,missed,292,292,1365,532,7
132,Milano Trento game 3,3 punti segnato,Shabazz Napier,Nikola Mirotic,made,308,308,75,364,5
133,Milano Trento game 3,3 punti sbagliato,,Nikola Mirotic,missed,394,394,1140,812,7
134,Milano Trento game 3,2 punti sbagliato,,Johannes Voigtmann,missed,434,434,1365,140,4
135,Milano Trento game 3,2 punti segnato,,Kyle Hines,made,438,438,675,140,0
136,Milano Trento game 3,2 punti sbagliato,,Devon Hall,missed,468,468,825,308,0
137,Milano Trento game 3,2 punti segnato,Kyle Hines,Johannes Voigtmann,made,523,523,750,112,0
138,Milano Trento game 3,2 punti segnato,Johannes Voigtmann,Kyle Hines,made,544,544,885,196,0
139,Milano Trento game 3,2 punti segnato,,Stefano Tonut,made,583,583,675,140,0
140,Milano Trento game 3,3 punti sbagliato,,Stefano Tonut,missed,599,599,1305,868,7
141,Milano Trento game 3,3 punti sbagliato,,Stefano Tonut,missed,34,634,360,812,6
142,Milano Trento game 3,2 punti sbagliato,,Stefano Tonut,missed,104,704,615,224,0
143,Milano Trento game 3,2 punti segnato,Diego Flaccadori,Johannes Voigtmann,made,117,717,750,140,0
144,Milano Trento game 3,3 punti sbagliato,,Johannes Voigtmann,missed,157,757,1380,560,7
145,Milano Trento game 3,2 punti sbagliato,,Diego Flaccadori,missed,203,803,735,644,2
146,Milano Trento game 3,2 punti segnato,,Kyle Hines,made,214,814,750,140,0
147,Milano Trento game 3,2 punti segnato,,Devon Hall,made,237,837,855,560,3
148,Milano Trento game 3,3 punti segnato,Nicolò Melli,Shabazz Napier,made,268,868,225,728,6
149,Milano Trento game 3,2 punti sbagliato,,Shabazz Napier,missed,304,904,1020,560,3
150,Milano Trento game 3,2 punti sbagliato,,Devon Hall,missed,339,939,885,280,0
151,Milano Trento game 3,2 punti segnato,Devon Hall,Nicolò Melli,made,420,1020,1095,588,3
152,Milano Trento game 3,2 punti segnato,,Devon Hall,made,452,1052,795,196,0
153,Milano Trento game 3,3 punti segnato,,Shabazz Napier,made,480,1080,465,812,6
154,Milano Trento game 3,2 punti segnato,,Shabazz Napier,made,505,1105,840,252,0
155,Milano Trento game 3,3 punti segnato,,Shabazz Napier,made,545,1145,975,868,7
156,Milano Trento game 3,2 punti segnato,,Devon Hall,made,578,1178,810,252,0
157,Milano Trento game 3,2 punti sbagliato,,Devon Hall,missed,21,1221,360,252,1
158,Milano Trento game 3,3 punti sbagliato,,Nikola Mirotic,missed,82,1282,405,840,6
159,Milano Trento game 3,2 punti segnato,Shabazz Napier,Nicolò Melli,made,103,1303,795,196,0
160,Milano Trento game 3,2 punti segnato,Shabazz Napier,Nikola Mirotic,made,128,1328,780,196,0
161,Milano Trento game 3,3 punti segnato,Devon Hall,Shabazz Napier,made,155,1355,1200,784,7
162,Milano Trento game 3,2 punti segnato,Shabazz Napier,Nikola Mirotic,made,185,1385,660,140,0
163,Milano Trento game 3,2 punti segnato,,Shabazz Napier,made,234,1434,915,224,0
164,Milano Trento game 3,2 punti sbagliato,,Shabazz Napier,missed,265,1465,1065,588,3
165,Milano Trento game 3,2 punti segnato,Devon Hall,Nikola Mirotic,made,273,1473,825,224,0
166,Milano Trento game 3,2 punti sbagliato,,Nikola Mirotic,missed,320,1520,1065,392,3
167,Milano Trento game 3,3 punti segnato,Stefano Tonut,Nicolò Melli,made,391,1591,1245,728,7
168,Milano Trento game 3,2 punti segnato,,Stefano Tonut,made,443,1643,1095,532,3
169,Milano Trento game 3,2 punti sbagliato,,Nicolò Melli,missed,512,1712,360,196,1
170,Milano Trento game 3,2 punti sbagliato,,Stefano Tonut,missed,571,1771,1170,280,4
171,Milano Trento game 3,3 punti sbagliato,,Shabazz Napier,missed,600,1800,510,924,6
172,Milano Trento game 3,3 punti segnato,Diego Flaccadori,Johannes Voigtmann,made,45,1845,945,924,7
173,Milano Trento game 3,2 punti segnato,Shabazz Napier,Kyle Hines,made,69,1869,825,140,0
174,Milano Trento game 3,3 punti segnato,Shabazz Napier,Johannes Voigtmann,made,97,1897,165,644,6
175,Milano Trento game 3,3 punti sbagliato,,Devon Hall,missed,187,1987,180,700,6
176,Milano Trento game 3,3 punti sbagliato,,Nikola Mirotic,missed,233,2033,60,84,5
177,Milano Trento game 3,2 punti segnato,,Devon Hall,made,283,2083,675,644,2
178,Milano Trento game 3,3 punti segnato,,Shabazz Napier,made,338,2138,1245,700,7
179,Milano Trento game 3,2 punti sbagliato,,Devon Hall,missed,371,2171,765,364,0
180,Milano Trento game 3,3 punti segnato,Diego Flaccadori,Nicolò Melli,made,430,2230,60,140,5
181,Milano Trento game 3,2 punti segnato,,Diego Flaccadori,made,468,2268,660,420,2
182,Milano Trento game 3,3 punti sbagliato,,Nicolò Melli,missed,508,2308,105,560,6
183,Milano Trento game 3,3 punti sbagliato,,Stefano Tonut,missed,538,2338,270,756,6
184,Milano Trento game 3,2 punti sbagliato,,Stefano Tonut,missed,553,2353,840,168,0
185,Milano Trento game 3,2 punti segnato,,Diego Flaccadori,made,581,2381,645,196,0
186,Milano Trento game 4,2 punti segnato,,Nikola Mirotic,made,75,75,1155,280,4
187,Milano Trento game 4,2 punti segnato,,Stefano Tonut,made,103,103,570,336,2
188,Milano Trento game 4,2 punti segnato,,Devon Hall,made,161,161,975,224,0
189,Milano Trento game 4,2 punti segnato,Shabazz Napier,Nicolò Melli,made,194,194,720,140,0
190,Milano Trento game 4,2 punti sbagliato,,Stefano Tonut,missed,271,271,870,196,0
191,Milano Trento game 4,3 punti sbagliato,,Nikola Mirotic,missed,299,299,585,896,6
192,Milano Trento game 4,3 punti sbagliato,,Diego Flaccadori,missed,310,310,180,560,6
193,Milano Trento game 4,3 punti segnato,,Shabazz Napier,made,337,337,450,840,6
194,Milano Trento game 4,2 punti segnato,,Shabazz Napier,made,364,364,780,224,0
195,Milano Trento game 4,3 punti segnato,,Shabazz Napier,made,466,466,990,896,7
196,Milano Trento game 4,2 punti segnato,,Diego Flaccadori,made,482,482,795,196,0
197,Milano Trento game 4,3 punti sbagliato,,Shabazz Napier,missed,506,506,195,672,6
198,Milano Trento game 4,2 punti segnato,,Johannes Voigtmann,made,570,570,945,308,3
199,Milano Trento game 4,2 punti segnato,,Giampaolo Ricci,made,15,615,690,392,0
200,Milano Trento game 4,2 punti segnato,,Johannes Voigtmann,made,63,663,825,252,0
201,Milano Trento game 4,2 punti sbagliato,,Giampaolo Ricci,missed,63,663,825,252,0
