"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
"Milano Trento game 3","2 punti sbagliato","","Nikola Mirotic","missed",320,1520,1065,392
"Milano Trento game 3","3 punti segnato","Stefano Tonut","Nicolò Melli","made",391,1591,1245,728
"Milano Trento game 3","2 punti segnato","","Stefano Tonut","made",443,1643,1095,532
"Milano Trento game 3","2 punti sbagliato","","Nicolò Melli","missed",512,1712,360,196
"Milano Trento game 3","2 punti sbagliato","","Stefano Tonut","missed",571,1771,1170,280
"Milano Trento game 3","3 punti sbagliato","","Shabazz Napier","missed",600,1800,510,924
"Milano Trento game 3","3 punti segnato","Diego Flaccadori","Johannes Voigtmann","made",45,1845,945,924
"Milano Trento game 3","2 punti segnato","Shabazz Napier","Kyle Hines","made",69,1869,825,140
"Milano Trento game 3","3 punti segnato","Shabazz Napier","Johannes Voigtmann","made",97,1897,165,644
"Milano Trento game 3","3 punti sbagliato","","Devon Hall","missed",187,1987,180,700
"Milano Trento game 3","3 punti sbagliato","","Nikola Mirotic","missed",233,2033,60,84
"Milano Trento game 3","2 punti segnato","","Devon Hall","made",283,2083,675,644
"Milano Trento game 3","3 punti segnato","","Shabazz Napier","made",338,2138,1245,700
"Milano Trento game 3","2 punti sbagliato","","Devon Hall","missed",371,2171,765,364
"Milano Trento game 3","3 punti segnato","Diego Flaccadori","Nicolò Melli","made",430,2230,60,140
"Milano Trento game 3","2 punti segnato","","Diego Flaccadori","made",468,2268,660,420
"Milano Trento game 3","3 punti sbagliato","","Nicolò Melli","missed",508,2308,105,560
"Milano Trento game 3","3 punti sbagliato","","Stefano Tonut","missed",538,2338,270,756
"Milano Trento game 3","2 punti sbagliato","","Stefano Tonut","missed",553,2353,840,168
"Milano Trento game 3","2 punti segnato","","Diego Flaccadori","made",581,2381,645,196
"Milano Trento game 4","2 punti segnato","","Nikola Mirotic","made",75,75,1155,280
"Milano Trento game 4","2 punti segnato","","Stefano Tonut","made",103,103,570,336
"Milano Trento game 4","2 punti segnato","","Devon Hall","made",161,161,975,224
"Milano Trento game 4","2 punti segnato","Shabazz Napier","Nicolò Melli","made",194,194,720,140
"Milano Trento game 4","2 punti sbagliato","","Stefano Tonut","missed",271,271,870,196
"Milano Trento game 4","3 punti sbagliato","","Nikola Mirotic","missed",299,299,585,896
"Milano Trento game 4","3 punti sbagliato","","Diego Flaccadori","missed",310,310,180,560
"Milano Trento game 4","3 punti segnato","","Shabazz Napier","made",337,337,450,840
"Milano Trento game 4","2 punti segnato","","Shabazz Napier","made",364,364,780,224
"Milano Trento game 4","3 punti segnato","","Shabazz Napier","made",466,466,990,896
"Milano Trento game 4","2 punti segnato","","Diego Flaccadori","made",482,482,795,196
"Milano Trento game 4","3 punti sbagliato","","Shabazz Napier","missed",506,506,195,672
"Milano Trento game 4","2 punti segnato","","Johannes Voigtmann","made",570,570,945,308
"Milano Trento game 4","2 punti segnato","","Giampaolo Ricci","made",15,615,690,392
"Milano Trento game 4","2 punti segnato","","Johannes Voigtmann","made",63,663,825,252
"Milano Trento game 4","2 punti sbagliato","","Giampaolo Ricci","missed",63,663,825,252
"Milano Trento game 4","3 punti segnato","Diego Flaccadori","Devon Hall","made",114,714,1170,728
"Milano Trento game 4","2 punti sbagliato","","Diego Flaccadori","missed",201,801,750,308
"Milano Trento game 4","2 punti segnato","","Nicolò Melli","made",201,801,795,196
"Milano Trento game 4","2 punti segnato","Giampaolo Ricci","Johannes Voigtmann","made",223,823,810,252
"Milano Trento game 4","3 punti sbagliato","","Nicolò Melli","missed",263,863,1305,644
"Milano Trento game 4","3 punti sbagliato","","Devon Hall","missed",381,981,1050,840
"Milano Trento game 4","2 punti sbagliato","","Shabazz Napier","missed",396,996,735,588
"Milano Trento game 4","2 punti segnato","","Shabazz Napier","made",434,1034,690,168
"Milano Trento game 4","2 punti sbagliato","","Nicolò Melli","missed",478,1078,465,532
"Milano Trento game 4","2 punti segnato","Diego Flaccadori","Kyle Hines","made",514,1114,855,364
"Milano Trento game 4","2 punti sbagliato","","Stefano Tonut","missed",540,1140,840,252
"Milano Trento game 4","3 punti sbagliato","","Shabazz Napier","missed",565,1165,1005,868
"Milano Trento game 4","3 punti sbagliato","","Diego Flaccadori","missed",599,1199,855,952
"Milano Trento game 4","3 punti segnato","Stefano Tonut","Nicolò Melli","made",81,1281,75,420
"Milano Trento game 4","2 punti segnato","","Devon Hall","made",125,1325,660,252
"Milano Trento game 4","3 punti segnato","Devon Hall","Stefano Tonut","made",167,1367,1230,728
