"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti sbagliato","","Andrea Mezzanotte","missed",33,1833,435,252
"2 punti segnato","","Andrea Mezzanotte","made",39,1839,720,140
"2 punti sbagliato","","Alessandro Cappelletti","missed",50,1850,345,252
"3 punti sbagliato","","Ky Bowman","missed",60,1860,705,896
"3 punti sbagliato","","Filip Kruslin","missed",71,1871,45,112
"2 punti sbagliato","","Ky Bowman","missed",95,1895,105,84
"2 punti segnato","Alessandro Zanelli","Andrea Mezzanotte","made",147,1947,750,140
"3 punti segnato","","Ky Bowman","made",178,1978,705,896
"2 punti sbagliato","","Alessandro Zanelli","missed",221,2021,735,308
"3 punti sbagliato","","Filip Kruslin","missed",237,2037,60,84
"3 punti sbagliato","","Ky Bowman","missed",261,2061,1455,140
"2 punti segnato","Andrea Mezzanotte","D'Angelo Harrison","made",306,2106,750,84
"3 punti segnato","","Brandon Jefferson","made",311,2111,585,868
"2 punti sbagliato","","Andrea Mezzanotte","missed",339,2139,780,224
"3 punti segnato","","Brandon Jefferson","made",347,2147,465,840
"3 punti sbagliato","","Ky Bowman","missed",410,2210,105,476
"3 punti sbagliato","","Filip Kruslin","missed",427,2227,615,896
"2 punti sbagliato","","Osvaldas Olisevicius","missed",451,2251,945,308
"2 punti sbagliato","","Osvaldas Olisevicius","missed",476,2276,735,196
"2 punti segnato","","Breein Tyree","made",483,2283,765,140
"3 punti sbagliato","","Vasilis Charalampopoulos","missed",514,2314,1215,756
"2 punti sbagliato","","Osvaldas Olisevicius","missed",532,2332,870,616
"3 punti segnato","Brandon Jefferson","Breein Tyree","made",545,2345,1470,112
"2 punti sbagliato","","Justin Robinson","missed",565,2365,975,728
"3 punti sbagliato","","Brandon Jefferson","missed",594,2394,450,840
"2 punti sbagliato","","Markel Brown","missed",16,16,525,196
"2 punti segnato","","Jajuan Johnson","made",31,31,435,196
"2 punti sbagliato","","Tariq Owens","missed",44,44,735,504
"2 punti sbagliato","","Jajuan Johnson","missed",65,65,495,224
"2 punti sbagliato","","Tariq Owens","missed",77,77,615,280
"2 punti segnato","Jamel Morris","Xavier Sneed","made",85,85,750,140
"3 punti sbagliato","","Tomislav Zubcic","missed",128,128,120,672
"3 punti segnato","Jeremy Senglin","Jamel Morris","made",147,147,1125,812
"2 punti sbagliato","","Tyler Ennis","missed",160,160,855,364
"2 punti sbagliato","","Xavier Sneed","missed",169,169,885,476
"2 punti sbagliato","","Markel Brown","missed",173,173,630,672
"2 punti segnato","","Jamel Morris","made",189,189,585,588
"3 punti sbagliato","","Tyler Ennis","missed",208,208,900,1008
"3 punti segnato","Tyler Ennis","Markel Brown","made",240,240,270,812
"2 punti sbagliato","","Jamel Morris","missed",265,265,555,448
"2 punti segnato","Tyler Ennis","Tariq Owens","made",273,273,735,168
"3 punti sbagliato","","Markel Brown","missed",313,313,285,840
"3 punti segnato","Nate Laszewski","Jamel Morris","made",334,334,1245,728
"2 punti sbagliato","","Michal Sokolowski","missed",349,349,795,364
"2 punti sbagliato","","Tyler Ennis","missed",360,360,480,588
"3 punti segnato","","Jacob Pullen","made",365,365,195,868
"2 punti segnato","","Jamel Morris","made",379,379,615,140
"3 punti segnato","Jacob Pullen","Tomislav Zubcic","made",384,384,675,924
"2 punti sbagliato","","Jacob Pullen","missed",438,438,1050,252
"3 punti segnato","Jajuan Johnson","Jamel Morris","made",465,465,945,896
"2 punti segnato","Giovanni De Nicolao","Michal Sokolowski","made",495,495,825,280
"3 punti sbagliato","","Xavier Sneed","missed",512,512,1095,868
"2 punti segnato","","Michal Sokolowski","made",518,518,705,392
"2 punti segnato","","Xavier Sneed","made",527,527,900,280
"2 punti sbagliato","","Tariq Owens","missed",564,564,525,224
"3 punti segnato","","Jacob Pullen","made",583,583,1050,980
"3 punti sbagliato","","Xavier Sneed","missed",599,599,240,784
"2 punti segnato","","Jordan Bayehe","made",23,623,765,364
"2 punti segnato","","Jacob Pullen","made",36,636,900,364
"2 punti segnato","Frank Bartley","Jeremy Senglin","made",52,652,1260,364
"3 punti segnato","Tomislav Zubcic","Markel Brown","made",72,672,810,980
"2 punti sbagliato","","Frank Bartley","missed",83,683,975,560
"3 punti sbagliato","","Jacob Pullen","missed",105,705,1005,896
"2 punti sbagliato","","Tomislav Zubcic","missed",126,726,735,504
"2 punti segnato","","Xavier Sneed","made",133,733,1110,336
"2 punti segnato","Tyler Ennis","Tomislav Zubcic","made",140,740,555,364
"2 punti sbagliato","","Xavier Sneed","missed",156,756,525,560
"3 punti sbagliato","","Tariq Owens","missed",185,785,570,952
"2 punti sbagliato","","Tommaso Laquintana","missed",192,792,750,336
"2 punti sbagliato","","Tomislav Zubcic","missed",211,811,495,280
"3 punti sbagliato","","Jamel Morris","missed",232,832,1245,840
"3 punti sbagliato","","Tommaso Laquintana","missed",245,845,1035,896
"2 punti sbagliato","","Michal Sokolowski","missed",251,851,735,308
"3 punti segnato","","Eric Lombardi","made",266,866,825,896
"2 punti segnato","","Tyler Ennis","made",281,881,690,392
"2 punti sbagliato","","Jajuan Johnson","missed",302,902,360,392
"2 punti sbagliato","","Jacob Pullen","missed",322,922,855,420
"2 punti sbagliato","","Jamel Morris","missed",350,950,570,448
"3 punti segnato","Eric Lombardi","Tommaso Laquintana","made",371,971,165,700
"2 punti segnato","","Jacob Pullen","made",386,986,690,308
"2 punti sbagliato","","Jajuan Johnson","missed",404,1004,1095,672
"2 punti segnato","","Tyler Ennis","made",413,1013,630,168
"2 punti segnato","Michal Sokolowski","Alessandro Lever","made",439,1039,735,140
"2 punti segnato","Jamel Morris","Jajuan Johnson","made",455,1055,840,532
"2 punti segnato","","Tyler Ennis","made",468,1068,810,224
"2 punti segnato","Jeremy Senglin","Nate Laszewski","made",519,1119,825,168
"3 punti sbagliato","","Jacob Pullen","missed",537,1137,675,952
"3 punti sbagliato","","Frank Bartley","missed",546,1146,390,840
"2 punti sbagliato","","Tyler Ennis","missed",560,1160,900,308
"2 punti sbagliato","","Giovanni De Nicolao","missed",564,1164,525,196
"2 punti segnato","","Jeremy Senglin","made",575,1175,765,280
"3 punti sbagliato","","Jacob Pullen","missed",596,1196,600,1008
"2 punti segnato","","Tyler Ennis","made",29,1229,435,168
"2 punti sbagliato","","Markel Brown","missed",62,1262,390,280
"2 punti sbagliato","","Markel Brown","missed",69,1269,570,308
"2 punti sbagliato","","Xavier Sneed","missed",85,1285,525,280
"3 punti sbagliato","","Tomislav Zubcic","missed",91,1291,510,924
"2 punti sbagliato","","Xavier Sneed","missed",104,1304,600,252
"3 punti sbagliato","","Jamel Morris","missed",120,1320,975,924
"3 punti sbagliato","","Jeremy Senglin","missed",125,1325,1455,504
"3 punti sbagliato","","Markel Brown","missed",132,1332,315,840
"3 punti segnato","Markel Brown","Michal Sokolowski","made",147,1347,345,952
"3 punti sbagliato","","Nate Laszewski","missed",168,1368,780,924
"2 punti segnato","","Xavier Sneed","made",173,1373,765,112
"2 punti sbagliato","","Tomislav Zubcic","missed",181,1381,810,448
"3 punti sbagliato","","Jeremy Senglin","missed",203,1403,675,952
"3 punti sbagliato","","Jeremy Senglin","missed",210,1410,180,784
"2 punti sbagliato","","Tyler Ennis","missed",221,1421,795,308
"3 punti sbagliato","","Xavier Sneed","missed",245,1445,405,840
"2 punti sbagliato","","Jajuan Johnson","missed",267,1467,600,504
"3 punti sbagliato","","Tariq Owens","missed",290,1490,1365,560
"3 punti sbagliato","","Markel Brown","missed",326,1526,795,952
"3 punti sbagliato","","Jeremy Senglin","missed",342,1542,285,812
"3 punti sbagliato","","Tyler Ennis","missed",349,1549,735,952
"3 punti segnato","Frank Bartley","Nate Laszewski","made",371,1571,885,980
"2 punti sbagliato","","Jacob Pullen","missed",384,1584,765,476
"2 punti sbagliato","","Jamel Morris","missed",401,1601,420,532
"3 punti sbagliato","","Jamel Morris","missed",405,1605,855,980
"3 punti sbagliato","","Xavier Sneed","missed",439,1639,135,672
"3 punti segnato","Jamel Morris","Nate Laszewski","made",463,1663,585,896
"2 punti sbagliato","","Jacob Pullen","missed",486,1686,810,364
"2 punti segnato","Frank Bartley","Jordan Bayehe","made",502,1702,765,392
"2 punti segnato","","Michal Sokolowski","made",515,1715,690,280
"2 punti sbagliato","","Jordan Bayehe","missed",531,1731,810,308
"2 punti segnato","Alessandro Lever","Jacob Pullen","made",537,1737,690,252
"2 punti segnato","","Tomislav Zubcic","made",579,1779,765,420
"3 punti sbagliato","","Frank Bartley","missed",593,1793,420,840
"3 punti segnato","Jeremy Senglin","Jamel Morris","made",13,1813,1485,532
"3 punti segnato","Giovanni De Nicolao","Michal Sokolowski","made",37,1837,1050,840
"3 punti sbagliato","","Jamel Morris","missed",59,1859,525,868
"3 punti segnato","Xavier Sneed","Jamel Morris","made",82,1882,1485,364
"3 punti segnato","Jacob Pullen","Tomislav Zubcic","made",127,1927,660,924
"3 punti segnato","Tyler Ennis","Jacob Pullen","made",179,1979,795,952
"2 punti sbagliato","","Jeremy Senglin","missed",194,1994,675,364
"2 punti segnato","Tariq Owens","Michal Sokolowski","made",210,2010,660,252
"3 punti sbagliato","","Jamel Morris","missed",229,2029,1425,364
"3 punti sbagliato","","Jacob Pullen","missed",237,2037,645,980
"3 punti sbagliato","","Michal Sokolowski","missed",243,2043,225,868
"3 punti sbagliato","","Markel Brown","missed",265,2065,1275,784
"3 punti sbagliato","","Xavier Sneed","missed",276,2076,1455,252
"3 punti sbagliato","","Tariq Owens","missed",287,2087,570,924
"3 punti sbagliato","","Michal Sokolowski","missed",295,2095,975,952
"3 punti sbagliato","","Frank Bartley","missed",318,2118,675,868
"2 punti segnato","Michal Sokolowski","Markel Brown","made",328,2128,765,280
"2 punti sbagliato","","Jordan Bayehe","missed",348,2148,525,252
"3 punti sbagliato","","Jamel Morris","missed",356,2156,885,924
"2 punti segnato","","Frank Bartley","made",361,2161,945,336
"2 punti sbagliato","","Jacob Pullen","missed",392,2192,720,476
"2 punti segnato","Frank Bartley","Jordan Bayehe","made",411,2211,765,112
"3 punti sbagliato","","Michal Sokolowski","missed",432,2232,330,756
"3 punti segnato","","Frank Bartley","made",441,2241,825,1008
"2 punti segnato","","Tyler Ennis","made",487,2287,705,448
"2 punti sbagliato","","Tyler Ennis","missed",517,2317,630,588
"2 punti sbagliato","","Frank Bartley","missed",532,2332,570,168
"3 punti segnato","","Frank Bartley","made",539,2339,105,532
"2 punti sbagliato","","Tyler Ennis","missed",554,2354,735,364
"2 punti segnato","","Tyler Ennis","made",555,2355,570,476
"2 punti segnato","","Frank Bartley","made",561,2361,765,588
"2 punti sbagliato","","Tyler Ennis","missed",579,2379,690,756
"3 punti segnato","","Jacob Pullen","made",585,2385,615,924
"3 punti sbagliato","","Frank Bartley","missed",594,2394,435,980
"2 punti segnato","","Jacob Pullen","made",600,2400,480,448
"2 punti segnato","Niccolò Mannion","Skylar Spencer","made",2,2,645,420
"3 punti sbagliato","","Marco Belinelli","missed",9,9,1290,728
"3 punti segnato","Bryant Dunston","Rihards Lomazs","made",20,20,315,896
"2 punti sbagliato","","Niccolò Mannion","missed",33,33,525,364
"2 punti segnato","","Skylar Spencer","made",33,33,525,364
"2 punti sbagliato","","Bryant Dunston","missed",61,61,675,448
"2 punti sbagliato","","Sean Mcdermott","missed",70,70,900,196
"3 punti segnato","Skylar Spencer","Gabe Brown","made",81,81,195,812
"2 punti segnato","Alessandro Pajola","Bryant Dunston","made",93,93,840,224
"3 punti sbagliato","","Gabe Brown","missed",126,126,1065,812
"3 punti sbagliato","","Sean Mcdermott","missed",132,132,600,1036
"2 punti sbagliato","","Bryant Dunston","missed",155,155,885,224
"3 punti sbagliato","","Olivier Hanlan","missed",164,164,135,672
"2 punti segnato","Sean Mcdermott","Skylar Spencer","made",169,169,630,252
"3 punti sbagliato","","Marco Belinelli","missed",197,197,120,476
"2 punti segnato","","Achille Polonara","made",197,197,120,476
"2 punti sbagliato","","Sean Mcdermott","missed",214,214,795,252
"2 punti segnato","","Skylar Spencer","made",214,214,795,252
"3 punti segnato","Alessandro Pajola","Marco Belinelli","made",224,224,1230,784
"2 punti segnato","Alessandro Pajola","Marco Belinelli","made",248,248,435,644
"2 punti segnato","","Niccolò Mannion","made",261,261,855,252
"2 punti sbagliato","","Bryant Dunston","missed",274,274,675,448
"3 punti sbagliato","","Niccolò Mannion","missed",295,295,630,924
"2 punti sbagliato","","Marco Belinelli","missed",312,312,435,504
"2 punti segnato","Alessandro Pajola","Marco Belinelli","made",356,356,780,644
"2 punti segnato","Olivier Hanlan","Scott Ulaneo","made",365,365,810,140
"2 punti sbagliato","","Olivier Hanlan","missed",382,382,735,280
"3 punti sbagliato","","Gabe Brown","missed",397,397,285,812
"2 punti segnato","","Gabriel Lundberg","made",405,405,900,616
"2 punti sbagliato","","Scott Ulaneo","missed",418,418,555,280
"2 punti segnato","Alessandro Pajola","Ante Zizic","made",433,433,690,420
"3 punti segnato","Gabriel Lundberg","Abass Awudu Abass","made",506,506,1455,504
"3 punti sbagliato","","Davide Moretti","missed",517,517,405,840
"2 punti sbagliato","","Marco Belinelli","missed",531,531,1095,588
"2 punti segnato","","Ante Zizic","made",541,541,765,420
"2 punti segnato","","Olivier Hanlan","made",561,561,1170,476
"2 punti segnato","","Gabriel Lundberg","made",586,586,915,112
"2 punti sbagliato","","Davide Moretti","missed",595,595,810,252
"3 punti sbagliato","","Gabriel Lundberg","missed",14,614,405,896
"3 punti sbagliato","","James Young","missed",35,635,1305,728
"2 punti sbagliato","","Scott Ulaneo","missed",41,641,675,392
"3 punti segnato","Matteo Librizzi","Davide Moretti","made",67,667,1035,868
"3 punti sbagliato","","Bruno Mascolo","missed",91,691,855,952
"3 punti segnato","Sean Mcdermott","Matteo Librizzi","made",101,701,75,560
"2 punti sbagliato","","Bruno Mascolo","missed",136,736,990,224
"2 punti segnato","","Ante Zizic","made",136,736,990,224
"3 punti sbagliato","","Davide Moretti","missed",151,751,1260,756
"2 punti sbagliato","","Abass Awudu Abass","missed",177,777,435,224
"2 punti sbagliato","","Bruno Mascolo","missed",196,796,915,560
"2 punti sbagliato","","Daniel Hackett","missed",210,810,735,420
"2 punti sbagliato","","Niccolò Mannion","missed",220,820,990,280
"2 punti sbagliato","","Abass Awudu Abass","missed",231,831,870,308
"3 punti sbagliato","","Achille Polonara","missed",240,840,1170,812
"2 punti segnato","","Jordan Mickey","made",251,851,885,224
"3 punti sbagliato","","Niccolò Mannion","missed",259,859,450,896
"2 punti sbagliato","","Daniel Hackett","missed",263,863,705,252
"2 punti segnato","","Jordan Mickey","made",263,863,705,252
"2 punti sbagliato","","Niccolò Mannion","missed",287,887,990,392
"3 punti segnato","Daniel Hackett","Isaia Cordinier","made",314,914,1035,980
"3 punti segnato","Niccolò Mannion","Davide Moretti","made",330,930,585,924
"3 punti sbagliato","","Jordan Mickey","missed",349,949,1080,924
"2 punti sbagliato","","Olivier Hanlan","missed",361,961,585,364
"2 punti segnato","Isaia Cordinier","Abass Awudu Abass","made",368,968,780,308
"3 punti sbagliato","","Olivier Hanlan","missed",383,983,330,980
"3 punti segnato","Alessandro Pajola","Abass Awudu Abass","made",399,999,1200,840
"2 punti sbagliato","","Sean Mcdermott","missed",413,1013,765,308
"2 punti segnato","","Olivier Hanlan","made",418,1018,705,84
"3 punti segnato","Niccolò Mannion","Olivier Hanlan","made",462,1062,705,952
"2 punti sbagliato","","Isaia Cordinier","missed",479,1079,885,252
"3 punti sbagliato","","Niccolò Mannion","missed",484,1084,1215,812
"3 punti sbagliato","","Achille Polonara","missed",485,1085,165,784
"2 punti segnato","","Niccolò Mannion","made",494,1094,900,224
"3 punti sbagliato","","Alessandro Pajola","missed",525,1125,915,924
"3 punti sbagliato","","Gabe Brown","missed",541,1141,1410,448
"2 punti segnato","Alessandro Pajola","Marco Belinelli","made",558,1158,540,532
"2 punti sbagliato","","Niccolò Mannion","missed",575,1175,570,252
"2 punti segnato","","Skylar Spencer","made",575,1175,570,252
"3 punti sbagliato","","Marco Belinelli","missed",595,1195,630,896
"2 punti sbagliato","","Bryant Dunston","missed",595,1195,630,896
"2 punti segnato","","Isaia Cordinier","made",595,1195,1230,364
"3 punti segnato","","Gabe Brown","made",14,1214,1110,924
"2 punti sbagliato","","Niccolò Mannion","missed",56,1256,675,336
"2 punti segnato","Isaia Cordinier","Marco Belinelli","made",83,1283,1365,308
"2 punti segnato","","Olivier Hanlan","made",97,1297,855,196
"3 punti sbagliato","","Achille Polonara","missed",114,1314,660,980
"2 punti sbagliato","","Marco Belinelli","missed",118,1318,405,588
"2 punti sbagliato","","Sean Mcdermott","missed",156,1356,885,448
"3 punti segnato","Skylar Spencer","Niccolò Mannion","made",162,1362,810,1036
"3 punti sbagliato","","Isaia Cordinier","missed",182,1382,1200,980
"2 punti sbagliato","","Bryant Dunston","missed",227,1427,1125,252
"2 punti segnato","Marco Belinelli","Bryant Dunston","made",253,1453,705,392
"3 punti sbagliato","","Marco Belinelli","missed",295,1495,405,924
"2 punti sbagliato","","Rihards Lomazs","missed",320,1520,495,448
"3 punti sbagliato","","Alessandro Pajola","missed",347,1547,555,1064
"3 punti sbagliato","","Sean Mcdermott","missed",366,1566,1185,784
"3 punti sbagliato","","Niccolò Mannion","missed",373,1573,1020,924
"3 punti sbagliato","","Gabe Brown","missed",396,1596,990,1036
"2 punti segnato","Marco Belinelli","Achille Polonara","made",413,1613,690,336
"2 punti sbagliato","","Olivier Hanlan","missed",423,1623,750,224
"3 punti segnato","Alessandro Pajola","Marco Belinelli","made",431,1631,1305,672
"2 punti segnato","","Sean Mcdermott","made",460,1660,600,420
"3 punti sbagliato","","Abass Awudu Abass","missed",486,1686,150,728
"2 punti sbagliato","","Gabe Brown","missed",487,1687,780,532
