"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
"Brescia Pistoia game 1","3 punti sbagliato","","Jason Burnell","missed",502,1702,60,196
"Brescia Pistoia game 1","2 punti sbagliato","","C.J. Massinburg","missed",534,1734,915,252
"Brescia Pistoia game 1","2 punti sbagliato","","David Reginald Cournooh","missed",547,1747,1125,392
"Brescia Pistoia game 1","3 punti sbagliato","","C.J. Massinburg","missed",9,1809,255,728
"Brescia Pistoia game 1","2 punti sbagliato","","Kenny Gabriel","missed",18,1818,915,448
"Brescia Pistoia game 1","3 punti sbagliato","","C.J. Massinburg","missed",31,1831,75,448
"Brescia Pistoia game 1","3 punti sbagliato","","C.J. Massinburg","missed",73,1873,60,252
"Brescia Pistoia game 1","2 punti sbagliato","","Jason Burnell","missed",137,1937,840,364
"Brescia Pistoia game 1","2 punti sbagliato","","Semaj Christon","missed",206,2006,555,336
"Brescia Pistoia game 1","2 punti sbagliato","","Miro Bilan","missed",206,2006,555,336
"Brescia Pistoia game 1","2 punti sbagliato","","Miro Bilan","missed",246,2046,915,308
"Brescia Pistoia game 1","2 punti sbagliato","","Miro Bilan","missed",279,2079,585,420
"Brescia Pistoia game 1","3 punti segnato","Miro Bilan","Semaj Christon","made",342,2142,1185,812
"Brescia Pistoia game 1","2 punti sbagliato","","Semaj Christon","missed",391,2191,975,504
"Brescia Pistoia game 1","2 punti segnato","","Miro Bilan","made",391,2191,975,504
"Brescia Pistoia game 1","2 punti sbagliato","","Semaj Christon","missed",472,2272,645,252
"Brescia Pistoia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",504,2304,780,924
"Brescia Pistoia game 1","3 punti segnato","Jason Burnell","C.J. Massinburg","made",513,2313,675,896
"Brescia Pistoia game 1","3 punti segnato","Amedeo Della Valle","C.J. Massinburg","made",559,2359,705,924
"Brescia Pistoia game 1","3 punti segnato","Semaj Christon","Nicola Akele","made",592,2392,1470,336
"Brescia Pistoia game 2","2 punti segnato","Semaj Christon","Nicola Akele","made",43,43,735,280
"Brescia Pistoia game 2","2 punti segnato","","Semaj Christon","made",77,77,615,392
"Brescia Pistoia game 2","3 punti sbagliato","","Amedeo Della Valle","missed",117,117,465,812
"Brescia Pistoia game 2","3 punti segnato","Kenny Gabriel","Amedeo Della Valle","made",139,139,1080,840
"Brescia Pistoia game 2","3 punti sbagliato","","Amedeo Della Valle","missed",171,171,945,868
"Brescia Pistoia game 2","2 punti segnato","","Nicola Akele","made",197,197,840,196
"Brescia Pistoia game 2","2 punti sbagliato","","Miro Bilan","missed",241,241,945,252
"Brescia Pistoia game 2","3 punti segnato","Amedeo Della Valle","Kenny Gabriel","made",274,274,1260,644
"Brescia Pistoia game 2","3 punti sbagliato","","Amedeo Della Valle","missed",308,308,75,336
"Brescia Pistoia game 2","2 punti sbagliato","","Nicola Akele","missed",308,308,1095,196
"Brescia Pistoia game 2","3 punti segnato","Amedeo Della Valle","Semaj Christon","made",332,332,795,896
"Brescia Pistoia game 2","3 punti segnato","Miro Bilan","Nicola Akele","made",371,371,585,868
"Brescia Pistoia game 2","3 punti segnato","","Amedeo Della Valle","made",421,421,285,700
"Brescia Pistoia game 2","2 punti segnato","","C.J. Massinburg","made",474,474,600,560
"Brescia Pistoia game 2","3 punti sbagliato","","Semaj Christon","missed",516,516,435,812
"Brescia Pistoia game 2","3 punti segnato","Semaj Christon","C.J. Massinburg","made",521,521,195,644
"Brescia Pistoia game 2","2 punti sbagliato","","Semaj Christon","missed",564,564,765,364
"Brescia Pistoia game 2","2 punti segnato","","Jason Burnell","made",569,569,705,224
"Brescia Pistoia game 2","2 punti sbagliato","","David Reginald Cournooh","missed",16,616,870,336
"Brescia Pistoia game 2","2 punti segnato","","C.J. Massinburg","made",49,649,630,196
"Brescia Pistoia game 2","3 punti segnato","","C.J. Massinburg","made",98,698,705,896
"Brescia Pistoia game 2","2 punti sbagliato","","Amedeo Della Valle","missed",128,728,465,280
"Brescia Pistoia game 2","2 punti segnato","","C.J. Massinburg","made",181,781,660,336
"Brescia Pistoia game 2","3 punti sbagliato","","C.J. Massinburg","missed",219,819,1425,364
"Brescia Pistoia game 2","3 punti segnato","Miro Bilan","David Reginald Cournooh","made",339,939,360,756
"Brescia Pistoia game 2","2 punti segnato","","Miro Bilan","made",414,1014,930,252
"Brescia Pistoia game 2","2 punti sbagliato","","Nicola Akele","missed",450,1050,720,224
"Brescia Pistoia game 2","2 punti segnato","","David Reginald Cournooh","made",505,1105,1005,672
"Brescia Pistoia game 2","2 punti sbagliato","","Semaj Christon","missed",548,1148,600,448
"Brescia Pistoia game 2","3 punti sbagliato","","Kenny Gabriel","missed",593,1193,885,924
"Brescia Pistoia game 2","2 punti sbagliato","","Semaj Christon","missed",33,1233,675,168
"Brescia Pistoia game 2","3 punti sbagliato","","Amedeo Della Valle","missed",89,1289,225,672
"Brescia Pistoia game 2","2 punti segnato","","Amedeo Della Valle","made",106,1306,900,588
"Brescia Pistoia game 2","3 punti segnato","","Amedeo Della Valle","made",142,1342,495,812
"Brescia Pistoia game 2","2 punti segnato","","Semaj Christon","made",188,1388,1020,224
"Brescia Pistoia game 2","2 punti segnato","","Miro Bilan","made",216,1416,765,140
"Brescia Pistoia game 2","3 punti segnato","Semaj Christon","Amedeo Della Valle","made",278,1478,1155,756
"Brescia Pistoia game 2","3 punti sbagliato","","Kenny Gabriel","missed",334,1534,1020,840
"Brescia Pistoia game 2","3 punti segnato","","Amedeo Della Valle","made",342,1542,765,896
"Brescia Pistoia game 2","3 punti segnato","Jason Burnell","Amedeo Della Valle","made",376,1576,375,784
"Brescia Pistoia game 2","3 punti sbagliato","","Amedeo Della Valle","missed",406,1606,1020,896
"Brescia Pistoia game 2","2 punti segnato","Amedeo Della Valle","Michael Cobbins","made",422,1622,795,168
"Brescia Pistoia game 2","2 punti segnato","David Reginald Cournooh","Michael Cobbins","made",457,1657,765,140
"Brescia Pistoia game 2","3 punti sbagliato","","Nicola Akele","missed",501,1701,60,252
"Brescia Pistoia game 2","3 punti sbagliato","","C.J. Massinburg","missed",523,1723,675,896
"Brescia Pistoia game 2","2 punti segnato","","C.J. Massinburg","made",580,1780,855,196
"Brescia Pistoia game 2","2 punti segnato","","C.J. Massinburg","made",11,1811,720,168
"Brescia Pistoia game 2","3 punti sbagliato","","David Reginald Cournooh","missed",44,1844,795,868
"Brescia Pistoia game 2","3 punti sbagliato","","David Reginald Cournooh","missed",72,1872,675,868
"Brescia Pistoia game 2","3 punti segnato","C.J. Massinburg","Jason Burnell","made",123,1923,45,196
"Brescia Pistoia game 2","3 punti sbagliato","","Jason Burnell","missed",156,1956,915,840
"Brescia Pistoia game 2","3 punti sbagliato","","David Reginald Cournooh","missed",194,1994,330,700
"Brescia Pistoia game 2","2 punti segnato","","Jason Burnell","made",209,2009,1110,280
"Brescia Pistoia game 2","2 punti sbagliato","","Jason Burnell","missed",270,2070,1050,420
"Brescia Pistoia game 2","3 punti segnato","Jason Burnell","C.J. Massinburg","made",285,2085,1260,700
"Brescia Pistoia game 2","3 punti segnato","David Reginald Cournooh","Kenny Gabriel","made",317,2117,1080,896
"Brescia Pistoia game 2","3 punti segnato","C.J. Massinburg","Kenny Gabriel","made",362,2162,1440,112
"Brescia Pistoia game 2","2 punti segnato","Nicola Akele","David Reginald Cournooh","made",402,2202,840,168
"Brescia Pistoia game 2","3 punti sbagliato","","Kenny Gabriel","missed",447,2247,1050,840
"Brescia Pistoia game 2","3 punti sbagliato","","Nicolas Tanfoglio","missed",468,2268,1155,756
"Brescia Pistoia game 2","2 punti segnato","Miro Bilan","Nicola Akele","made",484,2284,780,196
"Brescia Pistoia game 2","3 punti segnato","Nicolas Tanfoglio","Kenny Gabriel","made",524,2324,150,616
"Brescia Pistoia game 2","3 punti sbagliato","","Kenny Gabriel","missed",548,2348,510,868
"Brescia Pistoia game 2","3 punti sbagliato","","Matteo Porto","missed",558,2358,1440,504
"Brescia Pistoia game 3","3 punti segnato","Semaj Christon","Nicola Akele","made",23,23,1410,364
"Brescia Pistoia game 3","3 punti sbagliato","","Kenny Gabriel","missed",59,59,870,952
"Brescia Pistoia game 3","3 punti segnato","Miro Bilan","Amedeo Della Valle","made",65,65,210,672
