,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
1430,2 punti segnato,Charlie Edward Moore,Jordon Varnado,made,527,2627,540.0,112.0,0
1431,2 punti segnato,,Charlie Edward Moore,made,560,2660,705.0,476.0,2
1432,2 punti segnato,,Charlie Edward Moore,made,600,2700,765.0,140.0,0
1433,2 punti segnato,Jordon Varnado,Derek Ogbeide,made,61,61,885.0,336.0,0
1434,3 punti sbagliato,,Payton Terrell Willis,missed,93,93,1335.0,560.0,7
1435,3 punti segnato,Payton Terrell Willis,Jordon Varnado,made,121,121,1410.0,448.0,8
1436,2 punti segnato,,Charlie Edward Moore,made,148,148,795.0,168.0,0
1437,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,194,194,735.0,196.0,0
1438,3 punti sbagliato,,Charlie Edward Moore,missed,228,228,315.0,756.0,6
1439,2 punti sbagliato,,Payton Terrell Willis,missed,275,275,600.0,364.0,2
1440,3 punti segnato,,Payton Terrell Willis,made,323,323,1005.0,868.0,7
1441,2 punti sbagliato,,Jordon Varnado,missed,363,363,825.0,392.0,3
1442,3 punti segnato,Charlie Edward Moore,Ryan Hawkins,made,441,441,915.0,868.0,7
1443,2 punti sbagliato,,Derek Ogbeide,missed,492,492,645.0,280.0,0
1444,2 punti segnato,,Jordon Varnado,made,520,520,585.0,252.0,0
1445,3 punti sbagliato,,Ryan Hawkins,missed,553,553,165.0,560.0,6
1446,2 punti sbagliato,,Charlie Edward Moore,missed,595,595,750.0,252.0,0
1447,3 punti sbagliato,,Gianluca Della Rosa,missed,40,640,1050.0,812.0,7
1448,3 punti sbagliato,,Ryan Hawkins,missed,78,678,1260.0,700.0,7
1449,2 punti segnato,,Payton Terrell Willis,made,110,710,885.0,476.0,3
1450,2 punti sbagliato,,Carl Wheatle,missed,148,748,630.0,252.0,0
1451,3 punti sbagliato,,Payton Terrell Willis,missed,159,759,735.0,924.0,6
1452,3 punti segnato,,Gianluca Della Rosa,made,201,801,1245.0,728.0,7
1453,3 punti segnato,Carl Wheatle,Ryan Hawkins,made,238,838,75.0,112.0,5
1454,3 punti sbagliato,,Gianluca Della Rosa,missed,277,877,1335.0,644.0,7
1455,2 punti segnato,Ryan Hawkins,Carl Wheatle,made,294,894,735.0,168.0,0
1456,3 punti sbagliato,,Payton Terrell Willis,missed,323,923,645.0,896.0,6
1457,3 punti segnato,,Payton Terrell Willis,made,368,968,285.0,728.0,6
1458,2 punti segnato,,Charlie Edward Moore,made,397,997,735.0,196.0,0
1459,2 punti sbagliato,,Jordon Varnado,missed,429,1029,720.0,616.0,2
1460,3 punti sbagliato,,Charlie Edward Moore,missed,459,1059,1140.0,812.0,7
1461,2 punti segnato,Payton Terrell Willis,Jordon Varnado,made,486,1086,780.0,280.0,0
1462,2 punti sbagliato,,Derek Ogbeide,missed,24,1224,1065.0,224.0,4
1463,2 punti segnato,,Charlie Edward Moore,made,67,1267,630.0,364.0,0
1464,2 punti segnato,,Charlie Edward Moore,made,82,1282,780.0,168.0,0
1465,2 punti sbagliato,,Jordon Varnado,missed,129,1329,885.0,336.0,0
1466,3 punti segnato,,Payton Terrell Willis,made,134,1334,45.0,168.0,5
1467,3 punti segnato,Jordon Varnado,Carl Wheatle,made,176,1376,1440.0,112.0,8
1468,2 punti sbagliato,,Charlie Edward Moore,missed,204,1404,720.0,224.0,0
1469,2 punti sbagliato,,Derek Ogbeide,missed,204,1404,720.0,224.0,0
1470,2 punti segnato,Payton Terrell Willis,Derek Ogbeide,made,228,1428,675.0,224.0,0
1471,2 punti sbagliato,,Charlie Edward Moore,missed,264,1464,645.0,308.0,0
1472,2 punti segnato,,Jordon Varnado,made,264,1464,645.0,308.0,0
1473,2 punti segnato,Payton Terrell Willis,Carl Wheatle,made,302,1502,750.0,112.0,0
1474,2 punti sbagliato,,Jordon Varnado,missed,341,1541,705.0,196.0,0
1475,2 punti segnato,,Derek Ogbeide,made,381,1581,555.0,224.0,0
1476,3 punti sbagliato,,Charlie Edward Moore,missed,432,1632,120.0,448.0,5
1477,3 punti sbagliato,,Jordon Varnado,missed,456,1656,615.0,868.0,6
1478,3 punti sbagliato,,Carl Wheatle,missed,469,1669,390.0,812.0,6
1479,2 punti segnato,,Derek Ogbeide,made,508,1708,750.0,392.0,0
