,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
561,3 punti sbagliato,,C.J. Massinburg,missed,600,1200,1230.0,756.0,7
562,2 punti sbagliato,,Semaj Christon,missed,19,1219,810.0,196.0,0
563,2 punti sbagliato,,Amedeo Della Valle,missed,55,1255,1065.0,448.0,3
564,2 punti segnato,,Semaj Christon,made,108,1308,870.0,588.0,3
565,2 punti segnato,Semaj Christon,John Petrucelli,made,136,1336,855.0,448.0,3
566,2 punti sbagliato,,Miro Bilan,missed,170,1370,675.0,336.0,0
567,2 punti segnato,,Semaj Christon,made,191,1391,780.0,672.0,3
568,3 punti sbagliato,,John Petrucelli,missed,239,1439,195.0,644.0,6
569,2 punti sbagliato,,Amedeo Della Valle,missed,256,1456,465.0,616.0,2
570,2 punti segnato,,Semaj Christon,made,293,1493,855.0,252.0,0
571,2 punti segnato,,Amedeo Della Valle,made,326,1526,810.0,308.0,0
572,2 punti segnato,,Amedeo Della Valle,made,361,1561,615.0,224.0,0
573,2 punti segnato,Semaj Christon,Miro Bilan,made,391,1591,840.0,280.0,0
574,2 punti segnato,,Semaj Christon,made,439,1639,585.0,364.0,2
575,2 punti sbagliato,,Nicola Akele,missed,439,1639,600.0,308.0,0
576,3 punti segnato,,Semaj Christon,made,439,1639,180.0,672.0,6
577,2 punti sbagliato,,Miro Bilan,missed,583,1783,825.0,252.0,0
578,2 punti segnato,,Miro Bilan,made,589,1789,750.0,224.0,0
579,3 punti sbagliato,,Jason Burnell,missed,33,1833,1335.0,644.0,7
580,3 punti sbagliato,,Miro Bilan,missed,45,1845,675.0,980.0,6
581,2 punti sbagliato,,Jason Burnell,missed,45,1845,630.0,336.0,0
582,2 punti sbagliato,,Nicola Akele,missed,64,1864,720.0,616.0,2
583,3 punti sbagliato,,Kenny Gabriel,missed,157,1957,645.0,980.0,6
584,3 punti segnato,David Reginald Cournooh,Kenny Gabriel,made,168,1968,1395.0,672.0,7
585,2 punti sbagliato,,Semaj Christon,missed,274,2074,975.0,252.0,0
