"description","assist","player","result","periodTime","totalTime","xx","yy"
"3 punti segnato","John Petrucelli","Kenny Gabriel","made",599,1199,240,700
"2 punti segnato","","Jason Burnell","made",44,1244,735,448
"2 punti segnato","Amedeo Della Valle","Miro Bilan","made",93,1293,825,140
"2 punti sbagliato","","Semaj Christon","missed",197,1397,330,504
"2 punti sbagliato","","Jason Burnell","missed",231,1431,795,168
"3 punti sbagliato","","Kenny Gabriel","missed",265,1465,1350,560
"3 punti sbagliato","","Amedeo Della Valle","missed",270,1470,795,924
"3 punti segnato","Semaj Christon","Jason Burnell","made",298,1498,60,112
"2 punti sbagliato","","David Reginald Cournooh","missed",364,1564,840,196
"2 punti segnato","","Jason Burnell","made",369,1569,645,224
"3 punti segnato","Jason Burnell","Kenny Gabriel","made",388,1588,45,140
"2 punti segnato","","Jason Burnell","made",443,1643,870,196
"3 punti sbagliato","","Jason Burnell","missed",472,1672,1305,588
"3 punti sbagliato","","David Reginald Cournooh","missed",479,1679,30,112
"3 punti segnato","David Reginald Cournooh","Nicola Akele","made",513,1713,1200,756
"2 punti segnato","C.J. Massinburg","Nicola Akele","made",564,1764,675,196
"3 punti segnato","David Reginald Cournooh","C.J. Massinburg","made",599,1799,765,952
"2 punti sbagliato","","C.J. Massinburg","missed",33,1833,885,168
"3 punti segnato","David Reginald Cournooh","C.J. Massinburg","made",40,1840,1455,196
"3 punti segnato","David Reginald Cournooh","John Petrucelli","made",168,1968,180,588
"3 punti sbagliato","","Amedeo Della Valle","missed",270,2070,450,868
"3 punti sbagliato","","C.J. Massinburg","missed",287,2087,1035,812
"2 punti sbagliato","","David Reginald Cournooh","missed",287,2087,1035,812
"2 punti sbagliato","","Miro Bilan","missed",374,2174,630,168
"3 punti sbagliato","","Kenny Gabriel","missed",404,2204,1260,672
"3 punti segnato","Miro Bilan","Amedeo Della Valle","made",412,2212,645,896
"2 punti sbagliato","","Miro Bilan","missed",481,2281,915,280
"2 punti sbagliato","","Jason Burnell","missed",513,2313,345,196
"3 punti sbagliato","","Kenny Gabriel","missed",590,2390,195,1260
"2 punti segnato","","Miro Bilan","made",26,26,795,224
"2 punti segnato","Semaj Christon","Nicola Akele","made",56,56,720,196
"2 punti sbagliato","","Amedeo Della Valle","missed",91,91,840,252
"2 punti sbagliato","","Miro Bilan","missed",91,91,840,252
"2 punti sbagliato","","Nicola Akele","missed",115,115,795,252
