,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
17518,3 punti sbagliato,,Andrea Cinciarini,missed,181,781,810.0,1008.0,7
17519,2 punti sbagliato,,Xavier Sneed,missed,189,789,585.0,280.0,0
17520,2 punti sbagliato,,Jordan Bayehe,missed,194,794,540.0,336.0,2
17521,2 punti sbagliato,,Andrea Cinciarini,missed,197,797,930.0,672.0,3
17522,2 punti segnato,Andrea Cinciarini,Scott Bamforth,made,197,797,1185.0,84.0,4
17523,3 punti sbagliato,,Frank Bartley,missed,202,802,1215.0,784.0,7
17524,3 punti sbagliato,,Trevon Bluiett,missed,232,832,255.0,700.0,6
17525,2 punti segnato,Eric Lombardi,Jordan Bayehe,made,260,860,750.0,140.0,0
17526,2 punti segnato,,Frank Bartley,made,290,890,825.0,308.0,0
17527,2 punti sbagliato,,Leonardo Totè,missed,310,910,660.0,336.0,0
17528,2 punti segnato,Frank Bartley,Tommaso Laquintana,made,325,925,825.0,364.0,0
17529,3 punti segnato,Leonardo Totè,Scott Bamforth,made,350,950,1455.0,364.0,8
17530,3 punti segnato,Eric Lombardi,Frank Bartley,made,371,971,1380.0,532.0,7
17531,2 punti sbagliato,,Matteo Tambone,missed,384,984,810.0,700.0,3
17532,2 punti segnato,Frank Bartley,Tommaso Laquintana,made,432,1032,525.0,140.0,0
17533,3 punti sbagliato,,Frank Bartley,missed,494,1094,705.0,952.0,6
17534,2 punti sbagliato,,Frank Bartley,missed,508,1108,1035.0,644.0,3
17535,3 punti segnato,,Trevon Bluiett,made,516,1116,795.0,896.0,7
17536,2 punti segnato,,Jeremy Senglin,made,543,1143,720.0,728.0,2
17537,3 punti segnato,Trevon Bluiett,Quincy Ford,made,558,1158,900.0,896.0,7
17538,3 punti sbagliato,,Jeremy Senglin,missed,584,1184,960.0,896.0,7
17539,2 punti sbagliato,,Quincy Ford,missed,600,1200,750.0,616.0,2
17540,3 punti segnato,,Frank Bartley,made,600,1200,495.0,952.0,6
17541,2 punti segnato,,Andrea Cinciarini,made,0,1200,855.0,364.0,0
17542,2 punti sbagliato,,Jeremy Senglin,missed,0,1200,975.0,560.0,3
17543,2 punti sbagliato,,Leonardo Totè,missed,0,1200,525.0,252.0,0
17544,2 punti sbagliato,,Leonardo Totè,missed,0,1200,570.0,392.0,2
17545,2 punti sbagliato,,Jeremy Senglin,missed,127,1327,600.0,504.0,2
17546,2 punti sbagliato,,Markis Mcduffie,missed,150,1350,1170.0,308.0,4
17547,2 punti sbagliato,,Andrea Cinciarini,missed,158,1358,1035.0,364.0,3
17548,3 punti sbagliato,,Quincy Ford,missed,176,1376,435.0,924.0,6
17549,2 punti sbagliato,,Jamel Morris,missed,200,1400,825.0,336.0,0
17550,3 punti sbagliato,,Frank Bartley,missed,201,1401,1455.0,196.0,8
17551,2 punti sbagliato,,Quincy Ford,missed,213,1413,555.0,392.0,2
17552,2 punti sbagliato,,Xavier Sneed,missed,256,1456,645.0,448.0,2
17553,3 punti segnato,Scott Bamforth,Quincy Ford,made,263,1463,1395.0,504.0,8
17554,3 punti sbagliato,,Frank Bartley,missed,285,1485,1395.0,756.0,7
17555,3 punti segnato,Xavier Sneed,Frank Bartley,made,310,1510,1425.0,588.0,7
17556,2 punti sbagliato,,Xavier Sneed,missed,343,1543,900.0,616.0,3
17557,2 punti sbagliato,,Xavier Sneed,missed,343,1543,885.0,532.0,3
17558,3 punti sbagliato,,Matteo Tambone,missed,352,1552,1395.0,448.0,8
17559,2 punti sbagliato,,Frank Bartley,missed,368,1568,600.0,504.0,2
17560,3 punti sbagliato,,Matteo Tambone,missed,374,1574,60.0,420.0,5
17561,3 punti segnato,,Jamel Morris,made,394,1594,1455.0,336.0,8
17562,2 punti segnato,,Andrea Cinciarini,made,425,1625,510.0,644.0,2
17563,3 punti sbagliato,,Frank Bartley,missed,443,1643,105.0,532.0,6
17564,3 punti segnato,Andrea Cinciarini,Markis Mcduffie,made,454,1654,255.0,784.0,6
17565,2 punti sbagliato,,Jamel Morris,missed,538,1738,795.0,336.0,0
17566,3 punti sbagliato,,Jamel Morris,missed,543,1743,975.0,952.0,7
17567,3 punti segnato,,Tommaso Laquintana,made,557,1757,405.0,812.0,6
17568,2 punti segnato,Frank Bartley,Xavier Sneed,made,560,1760,750.0,140.0,0
17569,3 punti sbagliato,,Scott Bamforth,missed,575,1775,1275.0,784.0,7
17570,2 punti segnato,,Xavier Sneed,made,0,1800,690.0,532.0,2
17571,2 punti sbagliato,,Xavier Sneed,missed,0,1800,585.0,280.0,0
17572,3 punti sbagliato,,Scott Bamforth,missed,0,1800,1305.0,700.0,7
17573,2 punti sbagliato,,Tommaso Laquintana,missed,37,1837,930.0,616.0,3
17574,3 punti sbagliato,,Valerio Mazzola,missed,97,1897,945.0,924.0,7
17575,2 punti segnato,,Xavier Sneed,made,110,1910,390.0,448.0,2
17576,2 punti segnato,Andrea Cinciarini,Valerio Mazzola,made,127,1927,810.0,448.0,3
17577,2 punti sbagliato,,Jordan Bayehe,missed,180,1980,1005.0,392.0,3
17578,3 punti sbagliato,,Markis Mcduffie,missed,191,1991,1440.0,392.0,8
17579,2 punti segnato,,Tommaso Laquintana,made,214,2014,915.0,336.0,0
17580,2 punti sbagliato,,Riccardo Visconti,missed,225,2025,600.0,420.0,2
17581,2 punti segnato,,Frank Bartley,made,236,2036,930.0,280.0,0
